2026-02-08 08:55:48,904 - INFO - Configuration:
2026-02-08 08:55:48,905 - INFO -   Style: Standard (Curriculum)
2026-02-08 08:55:48,905 - INFO -   Mode: curriculum
2026-02-08 08:55:48,905 - INFO -   Agents: 5
2026-02-08 08:55:48,905 - INFO -   Frame Stack: 4
2026-02-08 08:55:48,905 - INFO -   Resolution: (84, 84)
2026-02-08 08:55:48,905 - INFO -   Model: DuelingDQN (LeakyReLU)
2026-02-08 08:55:48,905 - INFO -   LR: 6.25e-05
2026-02-08 08:55:48,905 - INFO -   PER: True
2026-02-08 08:55:55,795 - INFO -   Curriculum Stage: 1 (EAT)
2026-02-08 08:55:55,795 - INFO -   Max Steps: 300
2026-02-08 08:56:16,076 - INFO - Ep 1 | S1:EAT | Rw: 194.73 | St: 67 | Fd: 21 (0.313/st) | Eps: 0.999 | L: 11.3338 | Wall | Pos:(0,0)
2026-02-08 08:57:12,168 - INFO - Ep 11 | S1:EAT | Rw: 180.40 | St: 14 | Fd: 20 (1.429/st) | Eps: 0.997 | L: 13.9669 | Wall | Pos:(0,0)
2026-02-08 08:57:15,797 - INFO - Ep 12 | S1:EAT | Rw: 244.26 | St: 74 | Fd: 26 (0.351/st) | Eps: 0.997 | L: 18.1836 | Wall | Pos:(0,0)
2026-02-08 08:57:20,309 - INFO - Ep 13 | S1:EAT | Rw: 372.61 | St: 77 | Fd: 39 (0.506/st) | Eps: 0.997 | L: 23.0779 | Wall | Pos:(0,0)
2026-02-08 08:57:27,777 - INFO - Ep 14 | S1:EAT | Rw: 120.42 | St: 21 | Fd: 14 (0.667/st) | Eps: 0.997 | L: 16.9548 | Wall | Pos:(32648,34240) Enemy:73
2026-02-08 08:57:29,873 - INFO - Ep 15 | S1:EAT | Rw: 220.67 | St: 24 | Fd: 24 (1.000/st) | Eps: 0.997 | L: 18.8549 | Wall | Pos:(0,0)
2026-02-08 08:57:41,527 - INFO - Ep 16 | S1:EAT | Rw: 304.09 | St: 72 | Fd: 32 (0.444/st) | Eps: 0.996 | L: 23.4769 | Wall | Pos:(40753,29743) Enemy:36
2026-02-08 08:57:43,882 - INFO - Ep 17 | S1:EAT | Rw: 213.63 | St: 47 | Fd: 23 (0.489/st) | Eps: 0.996 | L: 4.4364 | Wall | Pos:(0,0)
2026-02-08 08:57:51,455 - INFO - Ep 18 | S1:EAT | Rw: 111.18 | St: 21 | Fd: 13 (0.619/st) | Eps: 0.996 | L: 13.0454 | Wall | Pos:(0,0)
2026-02-08 08:57:55,796 - INFO - Ep 19 | S1:EAT | Rw: 337.06 | St: 100 | Fd: 35 (0.350/st) | Eps: 0.996 | L: 17.3430 | Wall | Pos:(40049,42432) Enemy:2945
2026-02-08 08:57:55,796 - INFO - Ep 20 | S1:EAT | Rw: 295.92 | St: 94 | Fd: 31 (0.330/st) | Eps: 0.996 | L: 17.3430 | Wall | Pos:(0,0)
2026-02-08 08:57:55,796 - INFO - Death Stats: {'Wall': 20, 'SnakeCollision': 0, 'Unknown': 0, 'MaxSteps': 0}
2026-02-08 08:57:59,408 - INFO - Ep 21 | S1:EAT | Rw: -19.91 | St: 2 | Fd: 0 (0.000/st) | Eps: 0.996 | L: 8.8758 | Wall | Pos:(0,0)
2026-02-08 08:58:04,057 - INFO - Ep 22 | S1:EAT | Rw: 313.20 | St: 74 | Fd: 33 (0.446/st) | Eps: 0.996 | L: 10.4875 | Wall | Pos:(42415,24752)
2026-02-08 08:58:04,057 - INFO - Ep 23 | S1:EAT | Rw: 180.95 | St: 4 | Fd: 20 (5.000/st) | Eps: 0.996 | L: 10.4875 | Wall | Pos:(28382,30195) Enemy:36
2026-02-08 08:58:08,687 - INFO - Ep 24 | S1:EAT | Rw: 170.39 | St: 28 | Fd: 19 (0.679/st) | Eps: 0.996 | L: 8.2276 | Wall | Pos:(0,0)
2026-02-08 08:58:10,788 - INFO - Ep 25 | S1:EAT | Rw: 190.26 | St: 6 | Fd: 21 (3.500/st) | Eps: 0.996 | L: 10.4591 | Wall | Pos:(0,0)
2026-02-08 08:58:21,773 - INFO - Ep 26 | S1:EAT | Rw: 232.13 | St: 39 | Fd: 25 (0.641/st) | Eps: 0.995 | L: 21.6561 | Wall | Pos:(0,0)
2026-02-08 08:58:25,920 - INFO - Ep 27 | S1:EAT | Rw: 202.00 | St: 38 | Fd: 22 (0.579/st) | Eps: 0.995 | L: 10.2151 | Wall | Pos:(0,0)
2026-02-08 08:58:28,557 - INFO - Ep 28 | S1:EAT | Rw: 242.81 | St: 40 | Fd: 26 (0.650/st) | Eps: 0.995 | L: 16.5122 | Wall | Pos:(0,0)
2026-02-08 08:58:39,034 - INFO - Ep 29 | S1:EAT | Rw: 232.34 | St: 39 | Fd: 25 (0.641/st) | Eps: 0.995 | L: 10.9783 | Wall | Pos:(0,0)
2026-02-08 08:58:45,534 - INFO - Ep 30 | S1:EAT | Rw: 202.03 | St: 48 | Fd: 22 (0.458/st) | Eps: 0.995 | L: 27.9296 | Wall | Pos:(28989,34014) Enemy:717
2026-02-08 08:58:45,534 - INFO - Death Stats: {'Wall': 30, 'SnakeCollision': 0, 'Unknown': 0, 'MaxSteps': 0}
2026-02-08 08:58:47,642 - INFO - Ep 31 | S1:EAT | Rw: 306.68 | St: 93 | Fd: 32 (0.344/st) | Eps: 0.995 | L: 12.6686 | Wall | Pos:(0,0)
2026-02-08 08:58:55,728 - INFO - Ep 32 | S1:EAT | Rw: 201.65 | St: 24 | Fd: 22 (0.917/st) | Eps: 0.994 | L: 4.2892 | Wall | Pos:(0,0)
2026-02-08 08:58:58,363 - INFO - Ep 33 | S1:EAT | Rw: 392.60 | St: 114 | Fd: 40 (0.351/st) | Eps: 0.994 | L: 4.9888 | Wall | Pos:(0,0)
